opcode,legal,command_index,factory_target,vtable,init,execute,destroy,opcode_hex,execute_hex,vtable_hex,semantic,evidence_level,semantic_evidence,semantic_cn,semantic_execute_consistent,serialized_size,static_min_bytes,size_evidence_type,params
60,True,30,4241207,4588892,4243408,4250048,4272128,0x3C,0x0040D9C0,0x0046055C,CONFIGURE_SCENE_VISUAL_EFFECT,已确认结构语义,不访问场景路径；调用同场景视觉/effect helper。具体画面效果名称需要动态Oracle。,在不换图的情况下配置/重置场景视觉效果,True,,14,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u8/bool-like"", ""名称"": ""reset_option""}, {""偏移"": ""+0x05/+0x09"", ""类型"": ""u32"", ""名称"": ""effect_params""}, {""偏移"": ""+0x0D"", ""类型"": ""u8"", ""名称"": ""effect_option""}]"
61,True,31,4241236,4588880,4243408,4250192,4272128,0x3D,0x0040DA50,0x00460550,SET_ACTIVE_SCENE_SUBSYSTEM_MODE_BYTE,已确认结构语义,取得当前scene container（runtime+0x280），将mode零扩展为DWORD写入scene_container+4。最终业务字段名未知。,设置当前场景子系统的模式字节,True,,5,lower_bound,"[{""偏移"": ""+0x04"", ""类型"": ""u8"", ""名称"": ""mode""}]"
62,True,32,4241265,4588868,4243408,4250272,4272128,0x3E,0x0040DAA0,0x00460544,RUN_SAVE_SLOT_INTERFACE,已确认,创建0x594对象（ctor 0x413B00，全局0x89FCD0），加载Menus\MEN8001.SF2，界面含“地點/等級/日期/時間”；与VAR998/event re-entry联动。静态证据不足以限定为只保存或只读取。,运行存档槽位界面的异步状态机,True,,4,lower_bound,[]
63,False,88,4242864,,,,,0x3F,,,,,,,True,,,unknown,[]
64,False,88,4242864,,,,,0x40,,,,,,,True,,,unknown,[]
65,False,88,4242864,,,,,0x41,,,,,,,True,,,unknown,[]
66,False,88,4242864,,,,,0x42,,,,,,,True,,,unknown,[]
67,False,88,4242864,,,,,0x43,,,,,,,True,,,unknown,[]
68,False,88,4242864,,,,,0x44,,,,,,,True,,,unknown,[]
69,False,88,4242864,,,,,0x45,,,,,,,True,,,unknown,[]
70,False,88,4242864,,,,,0x46,,,,,,,True,,,unknown,[]
71,True,33,4241294,4588856,4243408,4250720,4272128,0x47,0x0040DC60,0x00460538,BRANCH_VAR_EQ,已确认,,变量等于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
72,True,34,4241323,4588844,4243408,4250816,4272128,0x48,0x0040DCC0,0x0046052C,BRANCH_VAR_NE,已确认,,变量不等于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
73,True,35,4241352,4588832,4243408,4250912,4272128,0x49,0x0040DD20,0x00460520,BRANCH_VAR_GT,已确认,,变量大于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
74,True,36,4241381,4588820,4243408,4251008,4272128,0x4A,0x0040DD80,0x00460514,BRANCH_VAR_GE,已确认,,变量大于等于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
75,True,37,4241410,4588808,4243408,4251104,4272128,0x4B,0x0040DDE0,0x00460508,BRANCH_VAR_LT,已确认,,变量小于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
76,True,38,4241439,4588796,4243408,4251200,4272128,0x4C,0x0040DE40,0x004604FC,BRANCH_VAR_LE,已确认,,变量小于等于时跳转,True,16,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""var_index""}, {""偏移"": ""+0x08"", ""类型"": ""i32/与signed WORD变量比较"", ""名称"": ""compare_value""}, {""偏移"": ""+0x0C"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
77,True,39,4241468,4588784,4243408,4251296,4272128,0x4D,0x0040DEA0,0x004604F0,GOTO,已确认,,无条件跳转,True,8,,exact,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""target_instruction""}]"
78,False,88,4242864,,,,,0x4E,,,,,,,True,,,unknown,[]
79,False,88,4242864,,,,,0x4F,,,,,,,True,,,unknown,[]
80,False,88,4242864,,,,,0x50,,,,,,,True,,,unknown,[]
81,True,40,4241497,4588772,4243408,4251328,4272128,0x51,0x0040DEC0,0x004604E4,YIELD_EVENT_VM_A,已确认行为,PC++、清阶段状态并置 yield flag；同时保存当前 record 指针。原作者业务名称未知。,推进后主动结束本轮 Event VM 执行（A 型 marker）,True,,,unknown,[]
82,True,41,4241526,4588760,4243408,4251376,4272128,0x52,0x0040DEF0,0x004604D8,YIELD_EVENT_VM_B,已确认行为,PC++、清阶段状态并置 yield flag；与 0x51 的区别是未观察到保存 record 指针。不能再简单折叠成普通 NOP。,推进后主动结束本轮 Event VM 执行（B 型 marker）,True,4,,exact,[]
83,True,42,4241555,4588748,4243408,4251424,4272128,0x53,0x0040DF20,0x004604CC,VISUAL_TRANSITION_RAMP_A,已确认控制流/参数形状,"首次调用 0x406F20(cmd+4 byte,0)，之后用 0x406F20(4,0) 轮询完成；全过程 yield。视觉业务名待 Oracle。",启动并等待视觉转场状态机 A 型,True,,,unknown,[]
84,True,43,4241584,4588736,4243408,4251536,4272128,0x54,0x0040DF90,0x004604C0,VISUAL_TRANSITION_RAMP_B,已确认控制流/参数形状,与 0x53 平行，helper 为 0x406EE0。,启动并等待视觉转场状态机 B 型,True,,,unknown,[]
85,True,44,4241613,4588724,4243408,4251648,4272128,0x55,0x0040E000,0x004604B4,VISUAL_TRANSITION_HOLD,已确认控制流,使用 0x406F80(cmd+4 byte)；全局 0x468AE8 为转场状态。,驱动/等待转场状态机达到空闲,True,,,unknown,[]
86,True,45,4241642,4588712,4243408,4251744,4272128,0x56,0x0040E060,0x004604A8,VISUAL_TRANSITION_CUSTOM,已确认控制流/参数形状,调用 0x406FA0；最后一个参数会影响是否等待完成。,以五个 u16 参数配置视觉转场状态机,True,,,unknown,"[{""偏移"": ""+0x04/+0x06/+0x08/+0x0A/+0x0C"", ""类型"": ""5×u16"", ""名称"": ""transition_params""}]"
87,True,46,4241671,4588700,4243408,4251888,4272128,0x57,0x0040E0F0,0x0046049C,RESET_VISUAL_TRANSITION,已确认结构,,复位视觉转场状态机,True,4,,exact,[]
88,True,47,4241700,4588688,4243408,4251936,4272128,0x58,0x0040E120,0x00460490,CONFIGURE_CAMERA_JITTER,已确认算法,0x44B500 生成 dx/dy = rand()%(2*radius)-radius+bias，临时加到 camera origin；0x44B590 渲染后撤销。,配置相机随机抖动/震动,True,,,unknown,"[{""偏移"": ""+0x04/+0x08"", ""类型"": ""i32"", ""名称"": ""x_bias_y_bias""}, {""偏移"": ""+0x0C"", ""类型"": ""i32"", ""名称"": ""radius""}, {""偏移"": ""+0x10"", ""类型"": ""i32"", ""名称"": ""cadence_threshold""}, {""偏移"": ""+0x14"", ""类型"": ""i32/bool-like"", ""名称"": ""cadence_mode""}]"
89,True,48,4241729,4588676,4243408,4252016,4272128,0x59,0x0040E170,0x00460484,SET_SCENE_RENDER_OVERRIDE,已确认数据行为,写 0x89F7B8；非零时探索 render 绕过 normal active-scene render，走 0x407020。确切视觉业务名待 Oracle。,设置场景渲染覆盖状态,True,,,unknown,[]
90,True,49,4241758,4588664,4243408,4252080,4272128,0x5A,0x0040E1B0,0x00460478,VISUAL_TRANSITION_RAMP_A_EX,已确认控制流/参数形状,"0x406F20(cmd+4 byte,cmd+5 byte)；之后轮询完成。",A 型转场，两字节参数变体,True,,,unknown,[]
91,True,50,4241787,4588652,4243408,4252208,4272128,0x5B,0x0040E230,0x0046046C,VISUAL_TRANSITION_RAMP_B_EX,已确认控制流/参数形状,"0x406EE0(cmd+4 byte,cmd+5 byte)；之后轮询完成。",B 型转场，两字节参数变体,True,,,unknown,[]
92,True,51,4241816,4588640,4243408,4252336,4272128,0x5C,0x0040E2B0,0x00460460,HARD_HALT_SPIN,已确认行为,"Execute 仅 xor eax,eax; ret。若可达会被 VM 立即重复执行。新 Core 不应冻结宿主，必须 trap + trace，并把是否原版故意 hard halt 作为兼容诊断。",无推进、无 yield 的原版 VM 自旋陷阱,True,4,,exact,[]
93,False,88,4242864,,,,,0x5D,,,,,,,True,,,unknown,[]
94,False,88,4242864,,,,,0x5E,,,,,,,True,,,unknown,[]
95,False,88,4242864,,,,,0x5F,,,,,,,True,,,unknown,[]
96,False,88,4242864,,,,,0x60,,,,,,,True,,,unknown,[]
97,False,88,4242864,,,,,0x61,,,,,,,True,,,unknown,[]
98,False,88,4242864,,,,,0x62,,,,,,,True,,,unknown,[]
99,False,88,4242864,,,,,0x63,,,,,,,True,,,unknown,[]
100,False,88,4242864,,,,,0x64,,,,,,,True,,,unknown,[]
101,True,52,4241845,4588628,4243408,4252352,4272128,0x65,0x0040E2C0,0x00460454,SET_PLAYER_POSITION_AND_STATE_BYTE,已确认结构,,设置当前受控角色坐标和状态字节,True,,,unknown,[]
102,True,53,4241874,4588616,4243408,4252448,4272128,0x66,0x0040E320,0x00460448,SET_PLAYER_POSITION,已确认结构,,仅设置当前受控角色坐标,True,,,unknown,[]
103,True,54,4241903,4588604,4243408,4252528,4272128,0x67,0x0040E370,0x0046043C,SET_PLAYER_STATE_BYTE,已确认结构,,仅设置当前受控角色 packed state 状态字节,True,,,unknown,[]
104,True,55,4241932,4588592,4243408,4252624,4272128,0x68,0x0040E3D0,0x00460430,SWITCH_CONTROLLED_ACTOR_PRESERVE_POSITION,已确认结构,,切换当前受控角色并继承旧角色位置，同时恢复相机跟随,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u32"", ""名称"": ""actor_index""}]"
105,True,56,4241961,4588580,4243408,4252736,4272128,0x69,0x0040E440,0x00460424,APPEND_FIXED_ROLE_LIST_ENTRY_BY_SELECTOR,已确认数据行为/业务候选,selector1/2/3 分别追加 0x198/0x1BF/0x1A6；列表间距呈 0x350 role stride。与 FIRTTECH/技能高度相关但尚未建立直接调用证据，禁止先命名“学会技能”。,按 selector 向角色相关列表追加固定 ID,True,,,unknown,[]
106,True,57,4241990,4588568,4243408,4252944,4272128,0x6A,0x0040E510,0x00460418,SAVE_CAMERA_ORIGIN,强结构证据,复制 0x978514/0x978518 → 0x978554/0x978558。最终 Core 使用语义相机状态，不保留地址。,保存当前相机/世界原点到备份槽,True,4,,exact,[]
107,True,58,4242019,4588556,4243408,4253008,4272128,0x6B,0x0040E550,0x0046040C,POSITION_PLAYER_RELATIVE_TO_ENTITY,强结构证据,,把当前受控角色放到命名实体坐标加偏移的位置并设置状态字节,True,,,unknown,[]
108,False,88,4242864,,,,,0x6C,,,,,,,True,,,unknown,[]
109,False,88,4242864,,,,,0x6D,,,,,,,True,,,unknown,[]
110,False,88,4242864,,,,,0x6E,,,,,,,True,,,unknown,[]
111,False,88,4242864,,,,,0x6F,,,,,,,True,,,unknown,[]
112,False,88,4242864,,,,,0x70,,,,,,,True,,,unknown,[]
113,False,88,4242864,,,,,0x71,,,,,,,True,,,unknown,[]
114,False,88,4242864,,,,,0x72,,,,,,,True,,,unknown,[]
115,False,88,4242864,,,,,0x73,,,,,,,True,,,unknown,[]
116,False,88,4242864,,,,,0x74,,,,,,,True,,,unknown,[]
117,False,88,4242864,,,,,0x75,,,,,,,True,,,unknown,[]
118,False,88,4242864,,,,,0x76,,,,,,,True,,,unknown,[]
119,False,88,4242864,,,,,0x77,,,,,,,True,,,unknown,[]
120,False,88,4242864,,,,,0x78,,,,,,,True,,,unknown,[]
121,True,59,4242048,4588544,4243408,4253216,4272128,0x79,0x0040E620,0x00460400,REMOVE_PARTY_MEMBER,已确认,调用 0x43B870；仅在当前队伍非空且 role_id!=0 时执行。,从当前队伍移除角色,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u8"", ""名称"": ""role_id""}]"
122,True,60,4242077,4588532,4243408,4253296,4272128,0x7A,0x0040E670,0x004603F4,ADD_PARTY_MEMBER,已确认,调用 0x43B740；队伍上限 5，重复角色由 helper 自身去重。,向当前队伍加入角色,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""u8"", ""名称"": ""role_id""}]"
123,False,88,4242864,,,,,0x7B,,,,,,,True,,,unknown,[]
124,True,61,4242106,4588520,4243408,4253376,4272128,0x7C,0x0040E6C0,0x004603E8,ADJUST_PARTY_CURRENT_RESOURCES,已确认数据行为,调用 0x43B8F0 mode=1。资源 A current 位于 role+0x30、max +0x2C，最低夹到1；资源B current +0x38、max +0x34，最低夹到0。业务名称（HP/MP 等）待角色结构正式映射后再冻结。,对当前队伍全员的两项 current/max 资源做有符号增减并夹紧,True,,,unknown,"[{""偏移"": ""+0x04"", ""类型"": ""i32"", ""名称"": ""resource_a_delta""}, {""偏移"": ""+0x08"", ""类型"": ""i32"", ""名称"": ""resource_b_delta""}]"
