物理记录索引,物品ID,物品ID十六进制,名称,Ail2+0x38_威力攻侧修正,Ail2+0x3C_防禦护侧修正,说明
54,54,0x36,七色彩絹,910,0,據說是天女神舞時所用的彩絹，代表女媧神的七色具有無窮神力，非修法之人不可使用。
55,55,0x37,熾凰紅紉,1000,0,混鳳凰羽毛織成的紅色索帶，帶上花樣有如鳳凰之尾，揮動時紅光撲面，具辟炎逐焰之效。
56,56,0x38,瑤光綾索,1100,0,輝白如光的綾帶，據說是天上的天女所織，舞動之時輝映有如天光迴照，令妖魔遮眼畏避。
57,57,0x39,,0,0,
58,58,0x3A,,0,0,
59,59,0x3B,,0,0,
60,60,0x3C,,0,0,
61,61,0x3D,鐵槍,160,0,鐵簇木柄的短槍，輕便易使，是騎兵所愛用的兵刃。
62,62,0x3E,鋼戰戟,170,0,以全鋼打造而成的戰戟，雖然威猛沈厲，但不易揮使是其缺點。
63,63,0x3F,朱纓槍,240,0,槍頭附上紅纓的木柄長槍，可單手或雙手握使，是騎兵的武器之一。
64,64,0x40,嘯風槍,350,0,刃頭經過巧匠配重鑄型的短槍，舞動時會呼嘯作聲，因而得名。
65,65,0x41,鐵騎槍,390,0,西夏鐵騎精銳特別配用的鐵槍，通體以精鐵鑄成、沈重難使，但威力遠勝過一般長槍。
66,66,0x42,黑玉短戈,530,0,鑲以黑玉刃端的短戈，不但堅固耐用，而且破甲裂冑之能勝過尋常鋼鐵之屬。
67,67,0x43,火銅矛,900,0,由奇金火銅鑄成的長矛，除了辟離火地氣之能外，亦具共持使者極意之能，予敵額外損傷。
68,68,0x44,冷月銀槍,670,0,由極北之地所採白銀鍛製的長槍，其性極冷而能吸收熱氣。
69,69,0x45,紫電金戟,730,0,戟身閃爍紫電星芒的天界神兵，揮舞之時有風鳴雷爍、紫電閃灼之威，具辟雷逐電之效。
70,70,0x46,龍王戟,770,0,據說是來自龍宮的鎮寶，使用者可藉之引龍王之力呼雷喚雨，其威亦與其他神兵不遑多讓。
71,71,0x47,鬼烈槍,920,0,地界鬥鬼持用的長槍，揮舞時鬼聲啾啾，亦具使敵人懾魂喪魄之能。
72,72,0x48,碧吻蛇矛,850,0,通體作長蛇之型的奇異長槍，其槍頭刃處為發瑩瑩綠光，據說有讓敵人中毒之能。
73,73,0x49,破軍王戟,980,0,以道家儀法封入北斗之一的天罡破軍星神魄而成的巨戟。
74,74,0x4A,烈光戟,1050,0,遍體發銀光的短戟神兵，疾刺之時光華霍霍，不獨對妖魔之屬有震懾之威，威力亦是極強。
75,75,0x4B,西方聖槍,1800,0,根據西方傳說，這柄刺穿過神之子的長槍，將成為神的先鋒，具有無畏惡魔的強大力量。
76,76,0x4C,異國古槍,800,0,經西方神徽淨化而修復的鏽蝕古槍，但此刻尚未重履神契的它，只是一柄尋常長槍而已。
77,77,0x4D,鏽蝕古槍,800,0,將大惡魔阿瑪菲特箝制兩百年的戰槍，本身受到惡魔之血的腐蝕，已經破爛不堪了。
78,78,0x4E,,0,0,
79,79,0x4F,,0,0,
80,80,0x50,,0,0,
81,81,0x51,琉璃法珠,110,0,以剔透琉璃煉製的宿玉法珠，是所有靈珠操使者的入門之物。
82,82,0x52,琥珀凝晶,130,0,琥珀向具凝蘊生氣之能，以琥珀製成的宿玉能活發光靈之力，使其威力提升。
83,83,0x53,血紋瓊玉,180,0,乳白色的玉珠，上面微微透著一些血痕。
84,84,0x54,龍蟠雕玉,280,0,雕以精美龍紋的綠玉法珠，可使內宿的光靈感應龍氣，因而威勢大增。
85,85,0x55,火紋珪玉,330,0,以火焰之色為主的玉珠，這些色相互暈開，看來有如玉中有火在燃燒。
86,86,0x56,水靈天珠,410,0,由埋藏河底千年、飽蘊千水靈氣的寶石所製的宿玉，能增光靈靈氛，使其飛擊更為準確。
87,87,0x57,冰霧寒玉,450,0,以冰谷寒玉所製的宿玉，能化光靈的靈氣為玄凜寒波，在飛擊之時增添寒氣之傷。
88,88,0x58,縛咒禁石,540,0,在黑曜石上遍繫奇形繩結而成的宿玉，繩結所帶的縛咒之力共光靈而發，兼具封咒之效。
89,89,0x59,鬼魄碧晶,600,0,久埋葬地墳場的綠玉所製成的宿玉，飽含其內的怨魄厲魂共光靈而發，可生麻痺之效。
90,90,0x5A,地魄玄石,640,0,帶有地精之氣，黑色而表面微微反光的石球，威力不錯。
91,91,0x5B,封雷淨玉,680,0,以鎮法將雷電之精封於玉珠內而成的宿玉，追索敵人時非常精準，亦具辟雷逐電之效。
92,92,0x5C,離火神珠,750,0,掌離火之氣的玉珠，內部有宛如爆炎一般的火雲不住翻攪。集中敵人也有爆裂的威能。
93,93,0x5D,八荒靈石,800,0,表面粗糙的岩球，周圍透出強大的藍白色靈氣。可給予敵人多種異常狀態。
94,94,0x5E,搖光化玉,860,0,透明的玉珠之中有像星光般的光發出，看來就像是北斗七星中的搖光星落在地上而成。
95,95,0x5F,鈞天瓏玉,960,0,本身不像是一般的玉珠，外表像是一團飄渺的雲氣收攏而成。攻擊的型態也相當多變。
96,96,0x60,九陽煌珠,1000,0,具有煌日之力的神妙宿玉，看來就如一顆飄朧的金色光球，具有最強的光靈之力。
97,97,0x61,,0,0,
98,98,0x62,,0,0,
99,99,0x63,,0,0,
100,100,0x64,,0,0,
101,101,0x65,布袍,0,100,尋常的布裝，足以遮身蔽體，抵禦刀劍卻嫌不足。
102,102,0x66,厚織長衣,0,140,為防沙漠烈日風沙而縫製的長衣式樣，其布料粗厚耐磨，防禦力亦略優於一般布衣。
103,103,0x67,輕綢法袍,0,120,咒術師所穿的大袖法袍，雖易於行儀作法，但僅微具護禦之能。
104,104,0x68,白絹舞袖,0,150,封鈴笙專用的衣物。兩袖長而飄逸的女用絹衣，除此外並無特別之處。
105,105,0x69,羊皮長衫,0,200,以經過炮製的羊皮縫製而成的長衫，在西域是常見的衣著，對刀劍劈砍略有護禦能力。
106,106,0x6A,黑緞籠衫,0,250,從頭包覆到腳的全黑長袍，是妖術師的常見穿著，防禦力也還不錯。
107,107,0x6B,仙符繡袍,0,260,上繡玄紋仙符的黑緞長袍，不獨穿起來氣勢非凡，也較具護禦之效。
108,108,0x6C,金緞鐵袍,0,380,在棉料中混入金絲織成的布料俗稱金緞，這種布料縫成的長袍能禦刀劍，但質料亦較沈重。
109,109,0x6D,綴玉華裝,0,350,女用華服之一，在肩袖各處縫綴以玉璧，可兼具防禦與辟邪之用。
110,110,0x6E,朱綢法衣,0,330,較具身份的術士所穿，朱色有助於集聚精魂靈力，故為術士所愛用。
111,111,0x6F,朧影織衣,0,450,黑蠶絲織製的薄布長袍，如黑影般能吸光逐華，使穿者不易被發現。
112,112,0x70,舞風霓裳,0,460,綴滿飄舞輕紗的舞衣，不獨看來輕盈飄逸，亦能迷惑敵人雙眼，格外具有閃避之能。
113,113,0x71,神隱披風,0,480,由幻術師封法所製的神奇披風，能使穿戴者身影朦朧，令敵招難以擊中。
114,114,0x72,銀狐披肩,0,520,銀狐皮毛光滑軟韌，尋常兵器砍劈不進，以此製成的披肩亦極名貴。
115,115,0x73,霧幻雲袍,0,560,散放霧氣的灰色長袍，可使穿者身形飄渺如幻，令刀劍難以及身。
116,116,0x74,鳳凰織錦,0,600,混以鳳凰羽毛編成的鮮紅織錦，看似輕軟脆弱卻能禦刀劍劈砍，對火焰更具防護之效。
117,117,0x75,玄烏羽衣,0,630,奇鳥玄烏之羽織成的羽衣披風，輕便堅固而不畏水火是其神異之處，對兵刃亦具護禦之效。
118,118,0x76,玄魔法袍,0,660,全身繡滿玄魔經紋的厚重法袍，具集聚邪氣之能，是高段妖術師最喜愛的穿著之一。
119,119,0x77,玉女雲袖,0,700,下凡天女所遺留的舞袖，衣上凝綻仙光靈華，一望即知並非凡物，配上舞姿更顯曼妙。
120,120,0x78,紫紗天衣,0,750,由極罕見的金蠶紫紗所織製的舞衣，不僅外表華美絕豔，護禦能力更是絕佳。
121,121,0x79,雪羽披風,0,790,西域有鳥名曰郇翊，其羽堅厚能耐火焚，以此所製之披風極為珍罕。
122,122,0x7A,紫微仙衣,0,840,繡有紫微星斗玄奧的神妙法袍，能偏挪金象之力而生禦刀劍之效。
123,123,0x7B,幽旛魂錦,0,770,以寫滿符咒的朱紅魂旛縫製的外掛錦披，樣式奇詭卻頗具妖護之力。
124,124,0x7C,瑤池舞衣,0,880,水藍色的輕紗舞袖，周圍常繚繞雲一般的霧氣，能辟冰火雷等咒術。
125,125,0x7D,玄羅仙袖,0,900,漆黑如夜的黑色舞袖，蔽影黑袍使穿者身形飄忽，得憑護禦之力。
126,126,0x7E,黃泉祭衣,0,950,地界之民的祭官所穿的法袍，內蘊邪神念護之力，具極高的防禦力。
127,127,0x7F,天瑞華綾,0,1100,裡外透著淺紅霞光的神妙仙衣，舞動時朱綾滿放霞光輝蘊，令妖邪之力不能近身。
128,128,0x80,幽日神袍,0,1200,鎮護霍雍的幽煌所幻化而成的神物，金紫二色交織的幽日圖像代表這幽神使者絕對的力量。
129,129,0x81,七色蝶裳,0,1000,傳說中的神幻法衣，其七色彩紋是創世女神女媧的象徵，著之便可得祂神力的佑護。
130,130,0x82,,0,0,
131,131,0x83,軟革裡衣,0,170,以軟皮和布料縫製的貼身軟甲，舒適有餘，但只能抵禦小型兵刃而已。
132,132,0x84,硬皮胸甲,0,260,炮製後的硬皮層層縫製而成的胸鎧，在輕甲中還算是頗具防禦力的。
133,133,0x85,銅釘皮鎧,0,300,在硬皮胸鎧上打上許多銅釘，不但比尋常皮鎧更加耐用，也提升了防禦力。
134,134,0x86,金絲甲,0,420,由金、銅絲編製的緻密甲衣，防禦力佳但過於沈重，不利挪移閃躲。
135,135,0x87,鋼襯武衣,0,400,在衫內各處縫入薄鋼內襯的武衣，護禦能力雖不足但可保迅敏輕捷。
136,136,0x88,青銅戰甲,0,450,青銅鑄造的重型鎧甲，雖價廉而堅固可靠，但過於沈重而不利行動。
137,137,0x89,鎖子甲,0,550,由無數鐵環綴織而成的甲冑，雖比皮甲堅固，但過於沈重是其缺點。
138,138,0x8A,薄鋼環甲,0,540,由巧匠將一片片薄鋼片鍛鑲而成的鋼甲，輕而堅固且活動自如是其最大優點。
139,139,0x8B,明光神鎧,0,580,唐朝舊風的武將著鎧，其樣式介乎重鎧與輕鎧之間，十分實用且舒適。
140,140,0x8C,玄鐵重甲,0,760,玄鐵所鑄成的古樸漆黑鐵甲，護禦之力絕佳，但只有身懷巨力之士才能穿著自如。
141,141,0x8D,銀環軟甲,0,700,以粗厚的方形銀環交綴而成的甲衣，原理和鎖子甲一樣，但質地更為緊緻，防禦力也更佳。
142,142,0x8E,古璧玉甲,0,680,由玉片穿孔後綴接而成的玉甲，看似脆弱但卻頗具護禦之效。
143,143,0x8F,火銅輕甲,0,820,由奇金火銅鍛造的鎧甲，重量極輕且堅固無比，是極為珍罕的護甲。
144,144,0x90,紫金戰鎧,0,920,整件由珍罕的紫金鑄成的鎧甲，不但價值不菲，其防護力亦屬一流。
145,145,0x91,冥契妖甲,0,880,整體材質為黑曜石，其上浮著白色的筋絡，仕樣詭異的胸甲。
146,146,0x92,辟法玄冑,0,870,整件由黑色玄石和金線綴成，表面刻有無數奇異咒文的甲冑。
147,147,0x93,龍鱗金冑,0,1100,綴滿神龍鱗片的黃金甲冑，是古時天將遺留在人間的神物之一。
148,148,0x94,蝕魄幽鎧,0,970,據說是地界妖魔之物的邪鎧，輕而堅固，且能激發凶性殺氣。
149,149,0x95,珠璃瑩甲,0,1000,由透明的琉璃塊緻密無間的串織而成的甲衣，可化解多項法術。
150,150,0x96,化蘊神鎧,0,900,女媧所賜的特殊防具。能夠吸收大部分攻擊法術，不過防禦力頗弱。
151,151,0x97,龍神天鎧,0,1300,和龍王戟成對的龍宮之寶，本是龍王敖順所用，之後卻流傳到人間。
152,152,0x98,冰月皇衣,0,1250,守護冰璃的幽煌所幻化而成的神物，藍白色的月紋代表著劍使絕對的力量。
153,153,0x99,,0,0,
154,154,0x9A,,0,0,
155,155,0x9B,,0,0,
156,156,0x9C,,0,0,
157,157,0x9D,,0,0,
158,158,0x9E,,0,0,
159,159,0x9F,,0,0,
160,160,0xA0,,0,0,
161,161,0xA1,辟邪玉佩,0,0,古玉製成的普通玉佩，稍具辟邪除穢之能，但於咒法無啥護禦能力。
162,162,0xA2,護命神符,0,0,供神香木製成的民間護符，對咒法幾乎無護禦之力可言。
163,163,0xA3,清神淨玉,0,0,以天法神術淨除過凶魂戾氣的淨玉，是常見的護身飾物，效力有限。
164,164,0xA4,龍涎香囊,0,0,香料向具辟穢除惡之能，裝有龍涎香的香囊是常見的辟邪飾物之一。
165,165,0xA5,瑯環玉璧,0,0,華光四射的華美玉璧，除了裝飾之外，配戴之據說有辟禦咒法之效。
166,166,0xA6,朱蕊晶花,0,0,天然水晶結成的華美晶花，是集地魄而生，能禦冰與火系的咒術。
167,167,0xA7,封辟之印,0,0,以黃銅製雙頭蛇型圍繞著薄圓形玉石造成的護身符。看來年代久遠。
168,168,0xA8,水晶珠鍊,0,0,以不同大小的透明水晶圓球串成的項鍊，帶有古樸之美。
169,169,0xA9,玄經繡帶,0,0,繡有辟法經文的紫綾髮帶，對諸般咒法均具護禦之效。
170,170,0xAA,紫金織冠,0,50,以紫金細絲混紡黑緞而成的男性飾冠，除了美觀俊逸之外，亦具有昇靈增智之效。
171,171,0xAB,火紋金釵,0,0,以三成火銅、七成黃金混鑄的女用髮釵，不獨式樣獨特美觀，亦略具逐火辟炎之能。
172,172,0xAC,琉璃星簪,0,0,透明的髮簪，內部有數點會微微發光，像是星光一般。
173,173,0xAD,鑲蛇銀珮,0,0,在圓形和闐玉石上鑲有黃銅羅侯雙頭蛇標誌的玉佩。
174,174,0xAE,妖燐石,0,0,在黑暗中瑩耀藍紫色妖光的靈石，據說配戴之有意想不到的功效。
175,175,0xAF,黑玉蛇戒,0,0,雕成蛇蜷曲狀的黑玉戒指，裡面宿有太古蛇靈，具辟禦咒法之能。
176,176,0xB0,戰士之石,30,0,據說是歐洲古代狂戰士的遺骨，裝在小牛皮袋子裡，據說帶著可得勇猛靈魂的保佑。
177,177,0xB1,九龍玉佩,0,0,以上等美玉精雕九龍蟠捲之型，以玉之靈氣應乎龍型，能發辟諸般法術咒力之效。
178,178,0xB2,水靈珠花,0,0,以許多水晶珠翠鑲綴而成的精美女飾，不但外型十分華貴，並對冰凜寒氛具有辟禦之效。
179,179,0xB3,朱焰妖瞳,0,0,和天狼血眼成對的妖石，據說是妖龍的眼珠，具有非比尋常的邪力。
180,180,0xB4,煉法黑鱗,0,70,黑龍被千慄鬼噬禁法咬落的黑色龍鱗。具有極強的防禦能力。
181,181,0xB5,紫筱淨玉,50,0,淺紫透明的華美玉璧，鑲嵌以金飾和繫帶。
182,182,0xB6,龍骨項鍊,0,50,以妖龍的骨牙雕成的項鍊，樣式古樸，卻對術法有強大的護禦之力。
183,183,0xB7,祛魔護印,0,30,上面刻有圓形魔法陣的金屬配戴用護符，材質是銅底鑲銀。
184,184,0xB8,朱雀羽巾,0,0,適合小女孩配戴的布製羽巾，上面裝飾著鮮豔的朱雀羽毛。
185,185,0xB9,五尊神令,0,50,黑木製的奇異令符，上書古時五帝的尊名稱號，有極強的護禦之力。
186,186,0xBA,蟠龍玉帶,0,60,男性用的玉製腰帶，上面雕有整條蟠龍。
187,187,0xBB,封豨牙懸,50,0,以火獸封豨的牙鑲以金飾製成的耳墜。
188,188,0xBC,昂昴角簪,0,0,以雷獸昂昴百年一次換角時落下的角雕成的髮簪。
189,189,0xBD,玄烏玉雕,0,0,漆黑的鳥型玉雕，據說封有凶鳥鷏雒的魂魄，其上附聚有莫大的力量。
190,190,0xBE,化淵曲玉,0,0,黑色扭曲成螺旋狀的長型玉佩，一端有用以繫繩的洞孔。
191,191,0xBF,辰星瓏墜,0,0,華美的大型耳墜，由多顆寶石構成，其間恰成北斗七星之狀。
192,192,0xC0,冰凜銀鐲,0,80,式樣有點奇怪的纖細銀製手鐲，表面發出強力的寒氣。
193,193,0xC1,西方神徽,0,90,西域某教的教徽，傳說與中土邪派有莫大淵源，能予邪派術士護佑。
194,194,0xC2,神烏飾墜,0,0,以代表太陽的金烏為外型的雕像護符飾墜。
195,195,0xC3,天穹劍印,0,0,一柄漆黑的小鐵劍，上面刻有道家封法的符咒和星圖。
196,196,0xC4,如意珠翠,0,0,以多種寶石鑲綴而成的女用珠翠，其內隱含陰陽五行之陣，具有外表看不出來的神秘力量。
197,197,0xC5,天狼血眼,0,0,傳說是天狼皋猦被神將討伐時挖出的右眼，其中凝蘊極強的妖力。
198,198,0xC6,翡翠髑髏,0,0,如拳頭般大小的翠綠色髑髏，是邪派法器之一，常人是不能配戴的。
199,199,0xC7,流光鏡玉,0,0,一面打磨得極亮的藍白色玉石，鑲嵌在紫金鑄製的邊框上。
200,200,0xC8,冷華幽鏡,0,0,配掛在頸上的項鍊，但項鍊墜處是一面小鏡。
201,201,0xC9,軍神刻符,100,0,一塊黑色的符石上，刻著異國戰神的神符。
202,202,0xCA,千稜幻玉,0,0,類似鑽石般切割為多面的透明晶玉，各面都映著不同的色澤。
203,203,0xCB,幽都王璽,0,0,傳說是幽都皇族之印的黑玉印璽，其具有極強的妖力自是不在話下。
204,204,0xCC,玉璣靈鐲,0,0,以七顆寶石和銀絲交纏而成的華美手鐲。外型有如北斗七星。
205,205,0xCD,幻月神珠,0,0,裝在白緞小袋子裡的淡藍白色寶珠。會發出柔和的白光。
206,206,0xCE,六芒星印,0,0,刻著希伯來達比之星與魔法圓陣的石製護符。
207,207,0xCF,鳳翼彩兜,0,0,在布製兜帽上以多色羽毛分層縫上而成的羽帽，外型很可愛。
208,208,0xD0,七色瓔珞,0,0,由女媧神的象徵—七色彩石串成的項鍊，據說配戴者能得女媧神庇佑，諸般咒法不能侵。
209,209,0xD1,,0,0,
210,210,0xD2,,0,0,
211,211,0xD3,斂炙燧石,0,0,用以升起練劍之火的燧石。是每個鐵匠的寶貝。
212,212,0xD4,凜水寒晶,0,0,由千年寒冰湖湖心取出的極寒之結晶。
213,213,0xD5,紫琰煌石,0,0,時常放射出奇妙光芒的紫色煌石。
214,214,0xD6,千光淨玉,0,0,具有多重反射面，能將光線完全反射的純淨玉石。
215,215,0xD7,黑心鬼岩,0,0,傳說中天地創造時生成的四大奇物之一，能呼召天下眾邪魅之力。
216,216,0xD8,綠松石髓,0,0,巨石最中心的礦物結晶，凝聚了植物之力於其上。
217,217,0xD9,鐘乳凝晶,0,0,在地下水道中花上千萬年所形成的鐘乳石。
218,218,0xDA,兩儀玄石,0,0,由黑石與白石互相結合成的，具有調和陰陽之氣的力量。
219,219,0xDB,赤煉火銅,0,0,天地間六種奇金之一的火銅的礦石，表面散發灼熱紅光是其特徵。
220,220,0xDC,冰幻神石,0,0,周遭常籠罩一層霧氣，讓人難以發現的冰石。
221,221,0xDD,雷熒魄玉,0,0,能夠吸收雷電之力的奇妙玉石。
222,222,0xDE,辟邪紫金,0,0,具辟邪效能的紫金原石，是鍛造紫金武器防拒絕對必須的原料。
223,223,0xDF,九幽化玉,0,0,據傳是由幽界過來的玉石，帶有幽界的瘴氣。
224,224,0xE0,太初華晶,0,0,宇宙開創時期就出現的原始晶石，是許多物質的原形。
225,225,0xE1,翡翠碧砂,0,0,只有川中幽谷內才能找到的碧綠玉沙，亦是六種奇金之一。
226,226,0xE2,烏光玄鐵,0,0,天地間六種奇金之一玄鐵的礦石，通體漆黑泛光是其特徵。
227,227,0xE3,火凜冰實,0,0,生於極熱之地的緣火木所生長的極寒之實，有多種奇異的用途。
228,228,0xE4,神烏金翎,0,0,傳說中的神鳥金烏的羽毛，據說單單一枚便足以照明屋內。
229,229,0xE5,輝月魂石,0,0,長期受月光照耀而宿孕月華的靈石，具有神秘的力量。
230,230,0xE6,冥華紫晶,0,0,收納亡者之魂的冥界才有的紫色晶石。
231,231,0xE7,魂剎玉,0,0,將遊魂散魄封聚於淨玉而成的。
232,232,0xE8,赤霞珠,0,0,表面有如晚霞般的赤色花紋，當花紋變色時就表示將有重大危機。
233,233,0xE9,血纓石髓,0,0,與綠松石髓相對的另一種礦物結晶，代表了熾熱的地心之力。
234,234,0xEA,天堂之石,0,0,不屬這個世界的特殊寶石，據說是天上掉下來的。
235,235,0xEB,,0,0,
236,236,0xEC,,0,0,
237,237,0xED,,0,0,
238,238,0xEE,,0,0,
239,239,0xEF,,0,0,
240,240,0xF0,,0,0,
241,241,0xF1,,0,0,
242,242,0xF2,,0,0,
243,243,0xF3,,0,0,
244,244,0xF4,,0,0,
245,245,0xF5,,0,0,
246,246,0xF6,,0,0,
247,247,0xF7,,0,0,
248,248,0xF8,,0,0,
249,249,0xF9,,0,0,
250,250,0xFA,,0,0,
251,251,0xFB,金創藥,0,0,最常見的傷藥，效力雖有限但極易購得。
252,252,0xFC,大補丸,0,0,效力較金創藥為佳的傷藥，由於使用藥材珍昂，價格也昂貴許多。
