ID,名称,机器class_0x18,公式selector_0x30,参数K_0x40,结果模式_0x44,兼容业务族,平坦参数_0x4C,主结果权重_0x54,次结果权重_0x58,作者说明
0x03D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x03E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x03F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x040,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x041,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x042,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x043,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x044,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x045,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x046,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x047,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x048,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x049,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x04F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x050,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x051,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x052,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x053,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x054,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x055,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x056,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x057,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x058,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x059,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x05F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x060,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x061,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x062,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x063,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x064,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x065,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x066,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x067,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x068,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x069,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x06F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x070,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x071,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x072,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x073,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x074,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x075,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x076,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x077,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x078,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x079,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x07F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x080,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x081,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x082,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x083,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x084,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x085,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x086,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x087,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x088,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x089,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x08F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x090,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x091,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x092,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x093,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x094,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x095,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x096,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x097,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x098,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x099,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x09F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0A9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AB,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AC,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AD,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AE,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0AF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0B9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BB,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BC,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BD,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BE,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0BF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0C9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CB,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CC,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CD,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CE,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0CF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0D9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DB,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DC,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DD,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DE,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0DF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0E9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0EA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0EB,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0EC,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0ED,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0EE,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0EF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F0,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F1,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F2,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F3,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F4,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F5,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F6,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F7,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F8,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0F9,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0FA,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0FB,測試攻擊(敵),0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0FC,測試攻擊(我),0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x0FD,測試魔法(敵),1,0,50,1,目标主生存资源max比例型结果公式族,100,100,0,
0x0FE,測試魔法(我),1,0,50,1,目标主生存资源max比例型结果公式族,100,100,0,
0x0FF,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x100,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x101,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x102,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x103,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x104,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x105,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x106,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x107,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x108,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x109,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x10F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x110,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x111,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x112,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x113,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x114,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x115,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x116,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x117,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x118,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x119,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x11F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x120,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x121,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x122,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x123,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x124,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x125,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x126,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x127,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x128,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x129,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x12A,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x12B,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x12C,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x12D,攝魂鬼爪,1,4,12,1,目标主生存资源max比例型结果公式族,1,0,100,夏侯儀的獨門絕技，以自己魂中的幽凜之氣化為手刀攻敵，傷敵之外兼能吸取敵方魂氣。
0x12E,幽劍鬼獄,1,1,1,1,目标主生存资源max比例型结果公式族,10,100,0,冰璃的劍技，以真力引動劍魔「煌熇」的幽垠魄力共劍而出，使敵中招時兼受闇力所傷。
0x12F,絕劍凶號,1,3,60,0,常规直接结果公式族,0,100,0,「絕劍」之一，以心中殺意引發劍魔「煌熇」凶號共鳴，其威力能一擊而令敵魂體半損。
0x130,滅劍血朧,1,2,30,0,常规直接结果公式族,0,100,0,以劍魔「煌熇」的厲氣化為逆命血氣，使用此技者的傷勢越重，逆命血氣之威便越強。
0x132,絕劍喪魂,1,6,30,0,常规直接结果公式族,0,100,0,引幽冥往的幽劍第二式，能以絕凜殺意看穿敵人弱點、發而破之，令敵之重甲如同無形。
0x131,幽劍冥引,1,5,20,0,常规直接结果公式族,0,100,0,冰璃的劍技，以劍風引帶無數戾魄鬼氣，令敵中招後喪魄失神，因而完全忘卻先前的行動。
0x133,滅劍羅淵,1,4,40,0,常规直接结果公式族,0,100,0,「滅劍」中最威猛的一式，能藉劍魔的煞力引動羅淵厲界，並以劍氣罡風將敵群噬殺吞滅。
0x134,神華天舞,1,4,11,0,常规直接结果公式族,0,100,0,據說是自天女的舞姿演變而來，此技能以曼妙舞姿舞動索帶，以眩目之姿盡擊陣中諸敵。
0x135,罡風盈索,1,6,15,0,常规直接结果公式族,0,100,0,將罡氣灌注於索帶之內，不獨可揮擊一直排敵人，並能以罡氣反激敵內脈氣蘊而使之麻痺。
0x136,紫琰飛煌,1,4,13,0,常规直接结果公式族,0,100,0,操擁「宿玉」者所專擅的絕技，以真元內氣封注玉內之後發而擊之，有倍於平時的破壞力。
0x137,潑風槍,1,6,15,0,常规直接结果公式族,0,100,0,古倫德的槍技之一，以剛力疾舞手中長槍潑風揚塵，斬擊眼前一橫排敵人並令其不能視物。
0x138,炎殺戟,1,4,14,0,常规直接结果公式族,200,100,0,古倫德的槍技之一，將帶有火炎之力的長槍全力打擊一個敵人。
0x139,猛鬼破衝,1,5,15,0,常规直接结果公式族,0,100,0,古倫德的槍技之一，無視敵人的防禦，有如惡鬼般突入敵陣中斬殺敵人。
0x13A,迴光華斬,1,6,40,0,常规直接结果公式族,0,100,0,古倫德的槍技之一，以自己為中心劃出一記回馬槍，威力相當強大。
0x13B,天將奔烈,1,4,50,0,常规直接结果公式族,0,100,0,古倫德的最強槍技，能以心中極意瞬間予敵無數攻擊，其威勢有如神將降臨，故得其名。
0x13C,紫琰飛煌,1,4,13,0,常规直接结果公式族,0,100,0,操擁「宿玉」者所專擅的絕技，以真元內氣封注玉內之後發而擊之，有倍於平時的破壞力。
0x13D,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x13E,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x13F,,0,0,0,1,目标主生存资源max比例型结果公式族,0,100,0,
0x140,潛地蟄伏,5,0,0,2,双资源恢复业务族,100,100,0,
0x141,連珠箭雨,1,4,12,0,常规直接结果公式族,0,100,0,
0x142,無方飛劍,1,6,13,0,常规直接结果公式族,0,100,0,
0x143,離魂喚喪,1,2,20,0,常规直接结果公式族,0,100,0,
0x144,,1,0,0,0,常规直接结果公式族,0,100,0,
0x145,奪魄鬼眼,1,4,14,0,常规直接结果公式族,0,100,0,
0x146,鬼顱彈,1,4,17,0,常规直接结果公式族,0,100,0,
0x147,黑血陣,1,0,40,2,双资源恢复业务族,0,100,0,
0x148,妖光邪眼,1,4,12,0,常规直接结果公式族,0,100,0,
0x149,化血毒沫,1,4,12,0,常规直接结果公式族,0,0,0,
0x14A,蛇軀毒鑽,1,4,16,0,常规直接结果公式族,0,100,0,
0x14B,禁血蝕殺,1,3,50,0,常规直接结果公式族,0,100,0,
0x14C,鋼皮鐵罩,1,0,0,0,常规直接结果公式族,4000,0,0,
0x14D,剛破崩擊,1,6,15,0,常规直接结果公式族,0,100,0,
0x14E,血凅之觸,1,6,15,0,常规直接结果公式族,0,100,0,
0x14F,魔獄鬼炎,1,1,1,0,常规直接结果公式族,400,100,0,
0x150,魔獄冰嵐,1,1,1,0,常规直接结果公式族,300,100,0,
0x151,死灼妖光,1,5,12,0,常规直接结果公式族,0,100,0,
0x152,鬼炎彈,1,1,1,0,常规直接结果公式族,300,100,0,
0x153,炎殺彈,1,1,1,0,常规直接结果公式族,500,100,0,
0x154,冰破飛錐,1,1,1,0,常规直接结果公式族,400,100,0,
0x155,鬼叉刃,1,4,15,0,常规直接结果公式族,0,100,0,
0x156,無方鬼影,1,4,18,0,常规直接结果公式族,0,100,0,
