来源场景,RuntimeEventID,触发类型,目标对象,世界X,世界Y,目标场景,跳转类型,Opcode,已证明必要条件,条件完整性,条件证据等级,来源资源,依赖GameVar,含瞬时变量或运行时结果,可用于提前Route筛选,v0.5说明
mp0102d,12,MANUAL_EB,ng0102d-01.SF2,265,510,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102d/Mp0102d.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0102e,12,,,,,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0102e/Mp0102e.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0104,12,,,,,mp0104a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0104/Mp0104.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0104a,12,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 32,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0104a/Mp0104a.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0104a,12,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 32,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0104a/Mp0104a.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0104a,13,MANUAL_EB,儲藏室出入口,606,350,mp0104,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0104a/Mp0104a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0105,18,TOUCH_EA,往二樓出入口,649,265,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0105/Mp0105.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0105,19,,,,,mp0105a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1226] == 0,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0105/Mp0105.eve,1226,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0105a,13,,,,,mp0106,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0105a/Mp0105a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0105a,19,,,,,mp0105,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0105a/Mp0105a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0106,12,,,,,mp0105a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0106/Mp0106.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107a,12,TOUCH_EA,下方往廚房出入口,675,413,mp0107c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107a/Mp0107a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107a,13,TOUCH_EA,往外面出入口,319,504,mp0107c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107a/Mp0107a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107a,14,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 40,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107a/Mp0107a.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107a,14,,,,,mp0101,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 40,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107a/Mp0107a.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107b,12,,,,,mp0107c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107b/Mp0107b.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107c,12,TOUCH_EA,上方往客廳出入口,140,425,mp0107b,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107c/Mp0107c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107c,13,TOUCH_EA,下方往廚房出入口,344,493,mp0107a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107c/Mp0107c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107c,14,TOUCH_EA,夏侯儀父母臥室出入口,572,469,mp0107a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107c/Mp0107c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107c,15,,,,,mp0107d,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107c/Mp0107c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107c,16,MANUAL_EB,地下室出入口,351,386,mp0107e,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107c/Mp0107c.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107d,12,,,,,mp0107c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107d/Mp0107d.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0107e,12,,,,,mp0107c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0107e/Mp0107e.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,12,TOUCH_EA,武器舖出入口,1963,535,mp0208,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,13,TOUCH_EA,藥鋪出入口,2435,388,mp0205,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,14,TOUCH_EA,雜貨鋪出入口,2630,319,mp0207,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,15,TOUCH_EA,客棧出入口,3237,1143,mp0206,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,16,TOUCH_EA,上方城門出入口,3793,219,mp0202,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,17,TOUCH_EA,下方城門出入口,185,1396,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0201a,18,,,,,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/Mp0201A/Mp0201a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0202,16,MANUAL_EB,掌櫃,357,670,mp0212,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 10,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0202/Mp0202.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0202,16,MANUAL_EB,掌櫃,357,670,mp0201a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 10,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0202/Mp0202.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0202,43,,,,,mp0202,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0202/Mp0202.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0203,6,,,,,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0203/Mp0203.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0204,6,,,,,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0204/Mp0204.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0205,12,MANUAL_EB,老闆,416,290,mp0201a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0205/Mp0205.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0206,12,,,,,mp0201a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0206/Mp0206.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0207,12,MANUAL_EB,藥鋪老闆,333,341,mp0212,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 10 && var[539] != 1,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0207/Mp0207.eve,1|539,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0207,12,MANUAL_EB,藥鋪老闆,333,341,mp0201a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 10,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0207/Mp0207.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0207,12,MANUAL_EB,藥鋪老闆,333,341,mp0212,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 10 && var[539] == 1,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0207/Mp0207.eve,1|539,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0208,12,,,,,mp0212,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 12,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0208/Mp0208.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0208,12,,,,,mp0201a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 12,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0208/Mp0208.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0209,6,,,,,mp0102c,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0209/Mp0209.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,12,,,,,mp0208,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 9,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,12,,,,,mp0208,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 9 && var[1] == 8,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,12,,,,,mp0212,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 9 && var[1] == 8,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,13,TOUCH_EA,藥舖入口,2402,275,mp0205,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,14,,,,,mp0207,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 9,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,15,TOUCH_EA,客棧入口,3237,1058,mp0206,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,16,TOUCH_EA,右上城門入口,3620,214,mp0202,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 9,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,17,TOUCH_EA,ne0201-07.SF2,170,1412,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,18,TOUCH_EA,南方進入檢查線,353,1317,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,33,MANUAL_EB,花盆底,1155,354,mp2504,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0212,33,MANUAL_EB,花盆底,1155,354,mp0301,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0212/Mp0212.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301,12,TOUCH_EA,門出入口,356,408,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301/Mp0301.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301,13,TOUCH_EA,帳棚出入口,866,551,mp0302,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[540] != 1,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301/Mp0301.eve,540,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301,13,TOUCH_EA,帳棚出入口,866,551,mp0302,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[540] == 1,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301/Mp0301.eve,540,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301,14,MANUAL_EB,門出入口,356,408,mp0305,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301/Mp0301.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301a,12,TOUCH_EA,洞穴內,268,394,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301a/Mp0301a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0301a,13,,,,,mp0302,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0301a/Mp0301a.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0302,12,TOUCH_EA,下方出入口,444,1108,mp0303,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[542] != 0,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0302/Mp0302.EVE,542,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0302,12,TOUCH_EA,下方出入口,444,1108,mp0303,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[542] == 0,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0302/Mp0302.EVE,542,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0302,13,MANUAL_EB,body,294,372,mp0301,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] < 10,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0302/Mp0302.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0302,13,MANUAL_EB,body,294,372,mp0301a,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] >= 10,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0302/Mp0302.EVE,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0303,12,TOUCH_EA,gate,932,703,mp0302,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0303/Mp0303.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0303,13,,,,,mp0304,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[543] != 0,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0303/Mp0303.eve,543,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0303,13,,,,,mp0304,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[543] == 0,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0303/Mp0303.eve,543,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0304,12,MANUAL_EB,CHAIR_LEFT,590,681,mp0303,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0304/Mp0304.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0305,14,MANUAL_EB,chest1,729,486,mp0301,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0305/Mp0305.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,12,TOUCH_EA,右邊城門出入口,3582,872,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] != 14 && var[1] >= 14,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,12,TOUCH_EA,右邊城門出入口,3582,872,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] == 14,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,12,TOUCH_EA,右邊城門出入口,3582,872,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] == 16,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,12,TOUCH_EA,右邊城門出入口,3582,872,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] == 21,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,13,TOUCH_EA,藥舖出入口,575,479,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] != 14 && var[1] >= 14,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,13,TOUCH_EA,藥舖出入口,575,479,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] != 16 && var[1] != 15 && var[1] == 14,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,13,TOUCH_EA,藥舖出入口,575,479,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] != 21 && var[1] == 16,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,13,TOUCH_EA,藥舖出入口,575,479,mp3001,LOAD_SCENE_WITH_WORLD_RESET,0x3A,var[1] == 21,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,1,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,14,TOUCH_EA,客棧出入口,1885,207,mp0403,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
mp0401,15,TOUCH_EA,雜貨舖出入口,2984,470,mp0402,LOAD_SCENE_WITH_WORLD_RESET,0x3A,true,必要条件（不是充分条件）,A（EVE控制流精确必要条件）,Map/mp0401/Mp0401.eve,,0,1,可在运行时读取当前持久GameVar后参与路由筛选。
