quest_id,stage_id,stage_order,when,condition_status,objective,role,show_in_journal,optional,route_mode,target_kind,target_scene,runtime_event,trigger_type,target_object,world_x,world_y,battle_group,item_dependency,reads_var,writes_var,stage_result,evidence,notes
side_yinchuan_princess,eavesdrop,10,var[4510] == 1,A,在甘州完成密谋偷听，确认银川公主危机。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0701,26,TOUCH_EA,line3,1321,381,,,4510,515|4510,Var515=2,程序静态A,
side_yinchuan_princess,rescue,20,var[515] == 2,A,出城后直接前往世界地图“救公主事件点”。,trigger,1,0,condition_graph,EVENT_TOUCH,mp3001,40,TOUCH_EA,救公主事件點,2189,735,120|121,,1|515,515,Battle120/121；Var515=3,程序静态A,
side_sleepy_maid,maid,10,var[1233] == 1 && var[1212] == 0,A,正确处理贪睡侍女的对话/选择。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1001d,32,MANUAL_EB,event_maid,766,694,,,999|4501,1212|1233|4501,Var1212=1,程序静态A,
side_sleepy_maid,treasure,20,var[1212] == 1 && var[1209] == 0 && var[3080] == 1,A,前往开放的藏宝点取得奖励。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1009g,31,MANUAL_EB,x,613,324,,三索蛇劍|地魄玄石|化淵曲玉|雷熒魄玉,1212,1209|3080,包含Item221 雷荧魄玉等,程序静态A,
side_red_beast,start,10,var[20] == 0 && var[30] == 0 && var[1] > 41 && var[1] < 63,A,与甘州相关人物交谈，启动赤兽魂石线。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0705,15,,,,,,紫金劍|赤煉火銅|星晷刻盤,1|20|30|999,1|20|30|95|1134|1135,Var20=1,程序静态A,
side_red_beast,leave_ganzhou,20,var[20] == 1,A,离开甘州后获得失踪/怪物线索。,trigger,1,0,condition_graph,EVENT_TOUCH,mp0701,11,TOUCH_EA,下方出入口,971,1380,,,1|20|515|609|999,20|609|3084,Var20=2,程序静态A,
side_red_beast,flame_pig,30,var[20] == 2,A,在世界地图触发 flame_pig 事件。,trigger,1,0,condition_graph,EVENT_TOUCH,mp3001,41,TOUCH_EA,flame_pig,2561,719,165,赤獸魂石,20,20,Battle165；Item429；Var20=3,程序静态A,
side_red_beast,smith_followup,40,var[20] == 3 || var[20] == 4 || var[20] == 5,A,回甘州继续铁匠相关后续，取得关键材料。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0705,15,,,,,,紫金劍|赤煉火銅|星晷刻盤,1|20|30|999,1|20|30|95|1134|1135,推进Var20=4/5；Item219 赤炼火铜,程序静态A,
side_gaohuangjun_1,meet_injured,10,var[518] == 0 && var[3002] == 1,A,在沙漠区域发现受伤的高皇君。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1402,15,MANUAL_EB,高皇君,126,426,,,518,518,Var518=1,程序静态A,
side_gaohuangjun_1,rescue,20,var[518] == 1,A,完成救援。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp14062,15,TOUCH_EA,rescue,854,458,126,,518|3002,518|3084,Var518=2；Var3084=1,程序静态A,
side_gaohuangjun_2,second_meet,10,var[518] == 2 && var[3084] == 1,A,在甘州第二次遇到高皇君。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0701,44,MANUAL_EB,kou_anm,3557,1059,,,,518|3084,Var518=3,程序静态A,
side_gaohuangjun_3,third_meet,10,var[518] == 3 && var[3090] == 1,A,在沙州第三次遇到高皇君并取得后续线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1101,116,MANUAL_EB,kou_2,1420,2482,,,,518|3090,Var518=4,程序静态A,
side_gaohuangjun_3,rescue_liyuanhao,20,var[518] == 4,A,营救李元昊。,objective,1,0,condition_graph,OBJECTIVE,mp1201,13,TOUCH_EA,城門入口,738,541,128,輝月魂石,518,518|4405|4406|4407|4408|4409,Var518=5；Item229 辉月魂石,程序静态A,
side_gaohuangjun_3,followup,30,var[518] == 5,A,完成世界地图/肃州后续。,trigger,1,0,condition_graph,EVENT_TOUCH,mp3001,20,TOUCH_EA,肅州,1938,694,117,,1|518,518|1219,Var518=6,程序静态A,
side_yabusi,meet_yabusi,10,var[660] == 0 && var[1217] == 1 && item[426] > 0,A,与雅布斯建立正式任务联系。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0801a,21,MANUAL_EB,sivia / sivia_x,2756,1507,,辟邪紫金|血靈神珠|煉金初要,25|4501,660|999|1217|1218|4501,消耗Item426；Item222辟邪紫金；Item459炼金初要；Var660=1,程序静态A,
side_herb_manual,accept,10,var[652] == 0 && var[1229] == 1,A,接受寻找百草药典的委托。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0706,21,MANUAL_EB,女子,234,381,,百草藥典,652,652|999|1229|1230,Var652=1,程序静态A,
side_herb_manual,get_book,20,var[652] == 1 && var[1185] == 1,A,在磐沙堡宝箱取得百草药典。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0609b,23,MANUAL_EB,3,1379,404,,百草藥典,652,652|1185,Item458；Var652=2,程序静态A,
side_herb_manual,return,30,var[652] == 2 && var[1229] == 1,A,返回甘州交付百草药典。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0706,21,MANUAL_EB,女子,234,381,,百草藥典,652,652|999|1229|1230,消耗Item458；推进完成状态,程序静态A,
side_purple_beast,clue,10,var[21] == 0 && var[1181] == 1 && var[1157] < 1,A,取得紫兽魂石相关线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0610a,21,MANUAL_EB,NP127.SF2,927,568,,,21|648|1157,21,Var21=1,程序静态A,
side_purple_beast,sense_lightning,20,var[21] == 1,A,在磐沙相关地点确认雷力线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0601-2,21,,,,,,,21,21,Var21=2,程序静态A,
side_purple_beast,get_seal,30,var[21] == 2,A,龙岛剧情取得紫电封璧。,objective,1,0,condition_graph,OBJECTIVE,mp1803-1,11,TOUCH_EA,上方出入口,358,-36,,紫電封璧,13|21,13|21,Item457；Var21=3,程序静态A,
side_purple_beast,battle,40,var[21] == 3,A,回到磐沙触发战斗。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0601-2,22,MANUAL_EB,ng0601-01a.SF2,878,323,171,紫獸魂石|紫電封璧,,21|999,Battle171；Item433；Var21=4,程序静态A,
side_purple_beast,refine,50,var[21] >= 4 && item[433] > 0 && item[221] > 0 && item[434] == 0,A,炼化真正的紫兽魂石。,craft,1,0,none,CRAFT,,,,,,,,,,,433+221→434,程序全局表A,
side_white_beast,spring,10,var[669] == 0 && var[1219] == 1,A,调查酒泉/泉水相关线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0801a,24,MANUAL_EB,pool,649,856,,,669,669,Var669=1,程序静态A,
side_white_beast,hidden_girl,20,var[669] == 1 && var[1219] == 1,A,找到隐藏少女并完成重复对话。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0801a,23,MANUAL_EB,w_kagi_yellow,2525,2142,,,669|4501,669|4501,Var669=2,程序静态A,
side_white_beast,yabusi,30,var[669] == 2,A,雅布斯后续取得火凛冰实。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0806,20,MANUAL_EB,arbs,423,320,,鏽蝕古槍|西方神徽|火凜冰實,25|668|669|673|699|999,25|668|669|673|699|999|1218|1223,Item227；Var669=3,程序静态A,
side_white_beast,hotel_battle,40,var[669] == 3,A,旅店夜间触发战斗。,objective,1,0,condition_graph,OBJECTIVE,mp0802b,20,,,,,133,火凜冰實|白獸魂石,9|669|998,94|100|669|999|1219|1224,Battle133；Item431；Var669=4,程序静态A,
side_white_beast,ice_core,50,var[669] == 4,A,在冰核相关地点完成最终战斗。,objective,1,0,condition_graph,OBJECTIVE,mp1302,20,TOUCH_EA,ice_core,639,595,140,白獸魂石|白獸魂石,669|999|4501,669|999|4501,Battle140；Item432；Var669=5,程序静态A,
side_purple_fungus,give_alchemy,10,var[660] == 1 && item[459] > 0 && var[1226] != 0,A,把炼金初要交给李大夫。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0105,15,MANUAL_EB,nn0105-01.SF2 / 李大夫 / 0105N001.SF2,622 / 483 / 338,306 / 362 / 400,,煉金初要,1|501|660,501|999|1226,Var1226=0；李大夫离开前厅,程序静态A,
side_purple_fungus,collect,30,var[1226] == 0 && var[1019] == 1,A,在内部区域取得紫霜云芝。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0106,26,MANUAL_EB,紫霜雲芝,556,228,,紫霜雲芝,,1019,Item309×2；Var1019=0,程序静态A,
side_desert_caravan,merchant,20,var[23] == 1,A,与商队药商/相关人物交谈。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp2603,21,MANUAL_EB,boss,662,392,,朱獸魂石,23|1228,23,Var23=2,程序静态A,
side_desert_caravan,pot,30,var[23] == 2,A,调查药锅/事件点。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp2603,30,MANUAL_EB,pot,214,432,,紫霜雲芝,23|999,23|999,Var23=3,程序静态A,
side_desert_caravan,use_fungus,40,var[23] == 3 && item[309] > 0,A,使用紫霜云芝解决问题。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp2603,30,MANUAL_EB,pot,214,432,,紫霜雲芝,23|999,23|999,Var23=4,程序静态A,
side_desert_caravan,reward,50,var[23] == 4,A,完成商队后续并领取奖励。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp2603,21,MANUAL_EB,boss,662,392,,朱獸魂石,23|1228,23,Var23=5；Item437 朱兽魂石,程序静态A,
side_fortune_teller,accept,10,var[651] == 0,A,与算命先生交谈，接受寻找太乙占盘的线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0801a,22,MANUAL_EB,f_teller,2987,1586,,烏光玄鐵|神臨金丹|鑄命封石|太乙占盤,1|651|664|665|666,651|664|665|666|999,Var651=1,程序静态A,
side_fortune_teller,get_disk,20,var[651] == 1,A,在磐沙堡宝箱取得太乙占盘。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0609b,22,MANUAL_EB,2,970,356,,太乙占盤,651,651|1184,Item424；Var651=2,程序静态A,
side_fortune_teller,return,30,var[651] == 2,A,把太乙占盘带回算命先生。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0801a,22,MANUAL_EB,f_teller,2987,1586,,烏光玄鐵|神臨金丹|鑄命封石|太乙占盤,1|651|664|665|666,651|664|665|666|999,消耗Item424；取得Item226乌光玄铁等奖励；Var651=3,程序静态A,
side_longinus,dragon,20,var[25] == 1,A,黑龙事件中揭开羊皮封卷内容。,objective,1,0,condition_graph,OBJECTIVE,mp1803-3,11,TOUCH_EA,右上走道出入口,1589,-15,130|131,鎮龍之玉|鎮龍之玉|血厲鬼皿|羊皮封卷|羊皮封卷,13|25,13|25|999,Var25=2；Item423→460,程序静态A,
side_longinus,use_revealed_scroll,25,var[25] == 2,A,在道具菜单使用显字后的羊皮封卷，阅读浮现出的字迹与图样。,item_use,1,0,none,ITEM_USE,,,,,,,,羊皮封卷（Item460，显字版）,25,25,"使用Item460→世界动作码17→SET_VAR(25,3)",程序静态A（Ail2+0x28；RPG.exe 0x43AEC0/0x40CE23/0x40CFE4；GET_VAR=0x44B0D0；SET_VAR=0x44B0B0）,这是道具使用阶段，不依赖场景Event；v0.5之所以缺失，是因为旧分析器主线只覆盖EVE写入。
side_longinus,yabusi_decode,30,var[25] == 3,A,请雅布斯解读羊皮卷。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0806,20,MANUAL_EB,arbs,423,320,,鏽蝕古槍|西方神徽|火凜冰實,25|668|669|673|699|999,25|668|669|673|699|999|1218|1223,Var25=4,程序静态A,
side_longinus,huyan,40,var[25] == 4,A,请呼延崇辨识地图/线索。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp2002,21,MANUAL_EB,hwuyen,1051,1140,,,1|25,25,Var25=5,程序静态A,
side_longinus,cave,50,var[25] == 5,A,在对应洞窟开启圣枪路线。,objective,1,0,condition_graph,OBJECTIVE,mp2101a,14,,,,,,,25,25|1232,Var25=6,程序静态A,
side_longinus,spear,60,var[25] == 6 || var[25] == 7,A,完成圣枪相关战斗/取得阶段。,objective,1,0,condition_graph,OBJECTIVE,mp2102,19,TOUCH_EA,nd2101a&b-01.SF2,920,335,148,,25|999,25|98|999|1232,Var25=7→8,程序静态A,
side_longinus,repair,70,var[25] == 8 || var[25] == 9 || var[25] == 10,A,把圣枪相关物带回雅布斯处理。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0806,20,MANUAL_EB,arbs,423,320,,鏽蝕古槍|西方神徽|火凜冰實,25|668|669|673|699|999,25|668|669|673|699|999|1218|1223,Var25最终=11,程序静态A,
side_seven_color,r1,10,item[230] > 0 && item[226] > 0 && item[231] == 0,A,冥华紫晶230 + 乌光玄铁226。,craft,1,0,none,CRAFT,,,,,,,,,,,→魂刹玉231,程序全局表A,
side_seven_color,r2,20,item[228] > 0 && item[229] > 0 && item[199] == 0,A,神乌金翎228 + 辉月魂石229。,craft,1,0,none,CRAFT,,,,,,,,,,,→流光镜玉199,程序全局表A,
side_seven_color,r3,30,item[227] > 0 && item[225] > 0 && item[202] == 0,A,火凛冰实227 + 翡翠碧砂225。,craft,1,0,none,CRAFT,,,,,,,,,,,→千棱幻玉202,程序全局表A,
side_seven_color,r4,40,item[219] > 0 && item[199] > 0 && item[232] == 0,A,赤炼火铜219 + 流光镜玉199。,craft,1,0,none,CRAFT,,,,,,,,,,,→赤霞珠232,程序全局表A,
side_seven_color,r5,50,item[232] > 0 && item[231] > 0 && item[233] == 0,A,赤霞珠232 + 魂刹玉231。,craft,1,0,none,CRAFT,,,,,,,,,,,→血缨石髓233,程序全局表A,
side_seven_color,r6,60,item[233] > 0 && item[202] > 0 && item[208] == 0,A,血缨石髓233 + 千棱幻玉202。,craft,1,0,none,CRAFT,,,,,,,,,,,→七色璎珞208,程序全局表A,
supp_black_beast,letter,10,var[522] == 0 && var[3089] == 1 && var[24] == 0,A,与严婆婆反复交谈并接受送信相关请求。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0701,28,MANUAL_EB,old_maiden,2300,1355,,,24|522|999|4501,24|96|97|522|1225|4501,Var522=1（后续同事件可到4）,程序静态A,
supp_black_beast,temple,20,var[522] == 1,A,推进甘陀寺相关人物/圆智线。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1101,13,MANUAL_EB,佛寺大門,242,1309,,,5|9|24|522|621|4505,5|522|621|1146|1147|1148|4505,Var522=2,程序静态A,
supp_black_beast,temple_follow,30,var[522] == 2,A,继续寺院剧情。,objective,1,0,condition_graph,OBJECTIVE,mp1104,16,TOUCH_EA,五層塔出入口,417,444,,,5|522,5|23|522|1141|1146|1147|1154|3089,Var522=3,程序静态A,
supp_black_beast,cellar_battle,40,var[522] == 4,A,进入地窖处理阿娟/驱魔事件。,objective,1,0,condition_graph,OBJECTIVE,mp0711,20,TOUCH_EA,ne0501-01.SF2,496,473,141,黑獸魂石,522,0|96|97|522|1225|3089|3095,Battle141；Item435；Var522=5,程序静态A,
supp_black_beast,refine,50,var[522] >= 5 && item[435] > 0 && item[223] > 0 && item[436] == 0,A,炼化真正黑兽魂石。,craft,1,0,none,CRAFT,,,,,,,,,,,→Item436,程序全局表A,
supp_lankavatara,accept,10,var[562] == 0 && var[1148] == 1,A,慧性和尚委托寻找楞伽经。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1103c,20,MANUAL_EB,hwechin,633,459,,神炎金燈|楞迦經,562,562|999|1148,Var562=1,程序静态A,
supp_lankavatara,book,20,var[562] == 1 && var[1167] == 1,A,在千佛洞取得楞伽经。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1205,25,MANUAL_EB,sb,408,270,,楞迦經,562,562|1167,Item422；Var562=2,程序静态A,
supp_lankavatara,lamp,30,var[562] == 2 && var[1148] == 1,A,把楞伽经交回慧性和尚。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp1103c,20,MANUAL_EB,hwechin,633,459,,神炎金燈|楞迦經,562,562|999|1148,消耗Item422；Item382神炎金灯；Var562=3,程序静态A,
supp_isdor,illness,10,var[668] == 0 && var[1135] == 1,A,发现伊斯朵的异常并推进救援。,objective,1,0,condition_graph,OBJECTIVE,mp1602,30,MANUAL_EB,sad,1320,494,,神烏金翎|定魂珠,550|551|668,95|663|668|1223,Var668进入救援状态,程序静态A,
supp_isdor,save_orb,20,var[668] >= 1 && var[668] < 4 && (var[551] >= 6 || var[550] >= 4),A,好感足够时使用“净魂”等方案保住定魂珠。,optional_bonus,0,1,condition_graph,OBJECTIVE,mp1602,30,MANUAL_EB,sad,1320,494,,神烏金翎|定魂珠,550|551|668,95|663|668|1223,Item408；Var663=1,程序静态A,
supp_isdor,complete,30,var[668] >= 1 && var[668] < 4,A,完成伊斯朵后续。,objective,1,0,none,OBJECTIVE,,,,,,,,,,,Var668=4；Item228神乌金翎,程序/人工整理,
supp_affection,ice_shopping,10,var[607] == 1,A,给冰璃购买礼物。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0701,24,TOUCH_EA,冰璃買物線,2552,904,,,551|607,521|551|607|999,Var551+=1,程序静态A,mp0701/Event24入口第一条分支直接要求Var607=1。
supp_affection,xuanji_shopping,20,var[608] == 1,A,给璇玑购买礼物。,talk_or_interact,1,0,condition_graph,EVENT_MANUAL,mp0701,27,TOUCH_EA,慕容璇璣買物線,1584,476,,,550|608,520|550|608|999|3085,Var550+=1,程序静态A,mp0701/Event27入口第一条分支直接要求Var608=1。
supp_affection,ice_max,30,var[1] == 64 && var[551] == 6,A,冰璃好感满足条件时可锁定到关键值。,objective,1,0,condition_graph,OBJECTIVE,mp1009a,18,MANUAL_EB,中間大門呦,650,688,,,1|551|3059,1|91|551|606|629|1204|1205|1206|3031|3032|3033|3073|3074|3075|3076|3077|3078|3079|3080|4082|4083|4084|4085|4087|4088|4089|4090|4103|4107|4108|4109|4110|4111|4112|4113|4115|4116|4117|4118|4119|4120|4121|4123|4126|4127|4128|4129|4130|4131,Var551=7；后续mp1013可取得Item230冥华紫晶,程序静态A,mp1009a/Event18仅在Var1=64进入该剧情；I107再要求Var551=6，I114写Var551=7。
side_yinchuan_princess,eavesdrop_first,5,(var[1] == 35 || var[1] == 36) && var[4508] == 1,A,先在甘州偷听第一段密谋，再继续寻找第二个偷听位置。,trigger,1,0,condition_graph,EVENT_TOUCH,mp0701,25,TOUCH_EA,line1,3786,156,,,1|4508,4510|4508,Var4510=1；Var4508=2,程序静态A,Event25前两级分支直接要求Var1=35/36且Var4508=1；条件已由有效EVE逐指令闭合。
main_story,var1_01,10,var[1] == 1,A,把鸡汤送到高老丈家。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0104a,15,,,,,,,1,1,next_var1=2,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_02,20,var[1] == 2,A,前往河州药铺，向李大夫询问能救治高老丈的金萼红花。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0101,17,,,,,,,1,1,next_var1=3,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_03,30,var[1] == 3,A,回家向母亲说明情况，取得远行许可和盘缠。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0102c,17,,,,,,,1,1,next_var1=4,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_04,40,var[1] == 4,A,临行前去高老丈家辞行。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0104a,15,,,,,,,1,1,next_var1=5,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_05,50,var[1] == 5,A,从河州镇出入口离开，前往兰州寻找金萼红花。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0101,11,,,,,,,1,1,next_var1=6,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_06,60,var[1] == 6,A,前往兰州城，设法通过封锁并寻找药铺。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0212,18,,,,,,,1,1,next_var1=7,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_07,70,var[1] == 7,A,进入兰州后前往药铺，继续打听金萼红花。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0207,12,,,,,,,1,1,next_var1=8,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_08,80,var[1] == 8,A,根据兰州获得的线索前往废屋调查。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0212,11,,,,,,,1,1,next_var1=9,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_09,90,var[1] == 9,A,与封铃笙一起摆脱追兵，继续寻找脱身路线。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0304,12,,,,,,,1,1,next_var1=10,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_10,100,var[1] == 10,A,前往凉州，调查斋女与慕容璇玑失踪一事。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,16,,,,,,,1,1,next_var1=11,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_11,110,var[1] == 11,A,在凉州寻找慕容筝，询问璇玑和斋女失踪的线索。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0401,17,,,,,,,1,1,next_var1=12,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_12,120,var[1] == 12,A,继续在凉州调查，寻找能够证明璇玑去向的物证。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0401,18,,,,,,,1,1,next_var1=13,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_13,130,var[1] == 13,A,拿着找到的香包继续追查商队去向。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0401,52,,,,,,,1,1,next_var1=14,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_14,140,var[1] == 14,A,前往世界地图追上出城的商队，处理途中发生的袭击。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp3001,36,,,,,,,1,1,next_var1=15,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_15,150,var[1] == 15,A,救下商人后返回凉州，继续追踪北山绿洲。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0401,53,,,,,,,1,1,next_var1=16,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_16,160,var[1] == 16,A,根据取得的北山绿洲详图前往营地区域。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0501,13,,,,,,,1,1,next_var1=18,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_18,180,var[1] == 18,A,潜入北山绿洲营地，寻找失踪人员和敌方首领。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0501,11,,,,,,,1,1,next_var1=19,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
main_story,var1_19,190,var[1] == 19,A,深入营地并击败阿尔泰巴。,main_objective,1,0,condition_graph,ROUTE_OR_EVENT,mp0504,11,,,,,,,1,1,next_var1=20,A（状态）/B（玩家化Objective措辞）,Var1状态本身A级；Objective文字为玩家化语义。
