根目录,主题,固化节点或阶段,资料类型,相对路径,字节数,SHA-256,人类用途
数据,01_版本基线与封包审计,固化35,机器结果,数据/01_版本基线与封包审计/固化35/机器结果/固化35代码工具与文档回归审计.json,2010,5eb289242beffb429967d9926a1dcfa27226be80124931838d38be08c0817d4f,机器可读结论与断言
数据,01_版本基线与封包审计,固化36,机器结果,数据/01_版本基线与封包审计/固化36/机器结果/固化35继承非文档内容哈希一致性_固化36.json,152792,97ff8d6994cf745c1be061db74745c07a100a70cc480bb47d99885b98056e8d1,机器可读结论与断言
数据,01_版本基线与封包审计,固化36,机器结果,数据/01_版本基线与封包审计/固化36/机器结果/固化36代码工具文档与封包回归审计.json,8785,f297d67c33bcc30aebd5b91861c1148119ff49ccaa8454d55cc8f2a3a2c1aa84,机器可读结论与断言
数据,01_版本基线与封包审计,固化36,机器结果,数据/01_版本基线与封包审计/固化36/机器结果/文档全量遍历审计_固化36.json,19036,9272c1786b602eaaaadb6608a8ece6638e5c12ebab654e67eb77063f67a3f4bf,机器可读结论与断言
数据,01_版本基线与封包审计,固化36,机器结果,数据/01_版本基线与封包审计/固化36/机器结果/本版本全文件SHA与遍历索引_固化36.json,156194,4ad5df88116adc8bd6f7ea2cbbc5c7ecd8868ce80373c4b396b0dd8485059230,机器可读结论与断言
数据,01_版本基线与封包审计,固化37,机器结果,数据/01_版本基线与封包审计/固化37/机器结果/固化36继承非文档内容哈希一致性_固化37.json,220364,72c89406a1017cd9893936b47fe3489f5441a43d834dbfea381d238ac67c0311,机器可读结论与断言
数据,01_版本基线与封包审计,固化37,机器结果,数据/01_版本基线与封包审计/固化37/机器结果/固化37代码工具文档与封包回归审计.json,7517,24b7add6358cbc0084ae1c5dac5485adf64990a6091e180cebd796b5df617afa,机器可读结论与断言
数据,01_版本基线与封包审计,固化37,机器结果,数据/01_版本基线与封包审计/固化37/机器结果/文档全量遍历审计_固化37.json,16053,00835889592a783f2b09a06f24b99a9b27df40160e0410e63bb8b18bc76d0b9c,机器可读结论与断言
数据,01_版本基线与封包审计,固化37,机器结果,数据/01_版本基线与封包审计/固化37/机器结果/本版本全文件SHA与遍历索引_固化37.json,158603,e4b9b5d05958e3690326031958dac3625e15e82714f368c04583b8a013441307,机器可读结论与断言
数据,01_版本基线与封包审计,固化38,机器结果,数据/01_版本基线与封包审计/固化38/机器结果/固化37继承非文档内容哈希一致性_固化38.json,422,e871aca8dcc57de10766aec41cd58f6b1f9e4f6b9c09181fe49fed1e8135f3f4,机器可读结论与断言
数据,01_版本基线与封包审计,固化38,机器结果,数据/01_版本基线与封包审计/固化38/机器结果/固化38代码工具文档与封包回归审计.json,7530,bea4d48eba72cfb0d97f40055590ea3bef82ca2512e0572fd355739c4b880461,机器可读结论与断言
数据,01_版本基线与封包审计,固化38,机器结果,数据/01_版本基线与封包审计/固化38/机器结果/文档全量遍历审计_固化38.json,171,ce34ab27499543642d7fe5be4d9aee05e4467cb9e77e286cce60aa92be4880c7,机器可读结论与断言
数据,01_版本基线与封包审计,固化38,机器结果,数据/01_版本基线与封包审计/固化38/机器结果/本版本全文件SHA与遍历索引_固化38.json,161535,a67ba46d9f292706f5041c5f8945dae0c211e225c652245530e06af693a6bb85,机器可读结论与断言
数据,01_版本基线与封包审计,固化39,机器结果,数据/01_版本基线与封包审计/固化39/机器结果/固化38继承非文档内容哈希一致性_固化39.json,248359,dd7ff811b645defc199637ee736202c410df129bbe62575f66828f3d02f65867,机器可读结论与断言
数据,01_版本基线与封包审计,固化39,机器结果,数据/01_版本基线与封包审计/固化39/机器结果/固化39代码工具文档与封包回归审计.json,11303,f089a98ac01cec7aa23dd3e40615f083c1cb43bb4bcc7cafb3fa8cf79355f30d,机器可读结论与断言
数据,01_版本基线与封包审计,固化39,机器结果,数据/01_版本基线与封包审计/固化39/机器结果/文档全量遍历审计_固化39.json,14901,702018821454b51dccf4c67bb0aa933446fd0d21eadca5b047a143216af1d163,机器可读结论与断言
数据,01_版本基线与封包审计,固化39,机器结果,数据/01_版本基线与封包审计/固化39/机器结果/本版本全文件SHA与遍历索引_固化39.json,164163,0d2c64b3643b3e44fce5672a3b179e602c75a3e57e26267020cd9de25d4465cf,机器可读结论与断言
数据,01_版本基线与封包审计,固化40,机器结果,数据/01_版本基线与封包审计/固化40/机器结果/固化39继承非文档内容哈希一致性_固化40.json,252231,12e5eaae4ecdfca86fa42d89ad1dd41f26c054e972ad607944a6519b9a61db84,机器可读结论与断言
数据,01_版本基线与封包审计,固化40,机器结果,数据/01_版本基线与封包审计/固化40/机器结果/固化40代码工具文档与封包回归审计.json,9541,a55176496fe51e438daab03ec3f671012c0d4338cb4122b81c512c39c78dfc3a,机器可读结论与断言
数据,01_版本基线与封包审计,固化40,机器结果,数据/01_版本基线与封包审计/固化40/机器结果/文档全量遍历审计_固化40.json,15406,65156df94c9ba1f04c623a53a08cfcf13d1cae9f250feb60651a1deef1e8362d,机器可读结论与断言
数据,01_版本基线与封包审计,固化40,机器结果,数据/01_版本基线与封包审计/固化40/机器结果/本版本全文件SHA与遍历索引_固化40.json,166648,8d02e271bb194b24290e6b9aea9aeab4449825bdf27e693b90dfaf19b5ade55f,机器可读结论与断言
数据,01_版本基线与封包审计,固化41,机器结果,数据/01_版本基线与封包审计/固化41/机器结果/固化40继承非文档内容哈希一致性_固化41.json,229413,8737d5277e5e8fd8594d67db6d0a4d723b316ac29bb4884645635f376d415893,机器可读结论与断言
数据,01_版本基线与封包审计,固化41,机器结果,数据/01_版本基线与封包审计/固化41/机器结果/固化41代码工具文档与封包回归审计.json,7067,89eec17560b72c0aacdd2581fb669cdd801b3b595a4d5060378838b6786b431e,机器可读结论与断言
数据,01_版本基线与封包审计,固化41,机器结果,数据/01_版本基线与封包审计/固化41/机器结果/文档全量遍历审计_固化41.json,14663,fa281b470e99d8c8038351d72b2e97e18a50b72da6473e9f6415a58f5f80bd37,机器可读结论与断言
数据,01_版本基线与封包审计,固化41,机器结果,数据/01_版本基线与封包审计/固化41/机器结果/本版本全文件SHA与遍历索引_固化41.json,171255,b4d9d1d60789aa22176ff106cc4f1925e8da081ad1ebdb13ec81fc5ed9c6be88,机器可读结论与断言
数据,01_版本基线与封包审计,固化46,机器结果,数据/01_版本基线与封包审计/固化46/机器结果/固化46全文件散列索引.json,181439,457c2d52896cdfd6659ab78e514abce2db1bd17f154f398e700aa520a427509e,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化46状态表现调查器语义纠错等价审计.json,1455,1f421ea740f26aa90716499eac8873eb3f8c755b1a588cbe98ecec98cc4488c9,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化46继承文件哈希审计.json,675,c4a3c257f42ce6b79f79cf444c09279af48932332fb15d2ea19666cb6d7ac46d,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化47代码工具文档与数据第一轮审计.json,4926,d2375c6074bbd4da42ea79073776e07de176c781461f9231ab16f1227cb87d03,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化47全文件散列索引.json,184870,8c0e3d1dd9926ffca36ff73f430b892d5ce72718e3747e793b619774d889a8e2,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化47最终只读确认审计.json,968,47dc111349efc1ad2fc1627ef0676d498546eeb024097b3dfb828e7408517f25,机器可读结论与断言
数据,01_版本基线与封包审计,固化47,机器结果,数据/01_版本基线与封包审计/固化47/机器结果/固化47第二轮全包只读审计.json,856,62e47bcfbe891c3ff0ae5eb8d386a2dfaea0d1c2b4451566d696f70f2d0df085,机器可读结论与断言
数据,01_版本基线与封包审计,固化48,机器结果,数据/01_版本基线与封包审计/固化48/机器结果/固化48代码工具文档与数据第一轮审计.json,998,d5fc0d861a6ee6d7157a2b97730e5bbbd79eb53976cd02cc138f63d65d0c1563,机器可读结论与断言
数据,01_版本基线与封包审计,固化48,机器结果,数据/01_版本基线与封包审计/固化48/机器结果/固化48最终只读确认审计.json,1397,d4a13e1799298fc45772d41369b19bbcb8ff529980de908f9365d605433cc555,机器可读结论与断言
数据,01_版本基线与封包审计,固化48,机器结果,数据/01_版本基线与封包审计/固化48/机器结果/固化48第二轮全包只读审计.json,2704,25e3cbbe2f4f11f4cd39f01ca87c5d893c02d6dd8c53222914a48ff6241d4fec,机器可读结论与断言
数据,01_版本基线与封包审计,固化48,机器结果,数据/01_版本基线与封包审计/固化48/机器结果/本版本全文件SHA与遍历索引_固化48.json,188415,bb7df3c1c3c4096377ceab91dd73aa2e7ce02fae9a17d943751e69584ca65ee2,机器可读结论与断言
数据,01_版本基线与封包审计,固化49,机器结果,数据/01_版本基线与封包审计/固化49/机器结果/固化49代码工具文档与数据第一轮审计.json,3387,ba4c27ba354548ebf018d8d6a961011bddebfbca06be5ba1c378ca041ca36320,机器可读结论与断言
数据,01_版本基线与封包审计,固化49,机器结果,数据/01_版本基线与封包审计/固化49/机器结果/固化49最终只读确认审计.json,1779,f74c27156be6e6f89175484a188f88503e6da4464fc77e54f7a410c6742258a4,机器可读结论与断言
数据,01_版本基线与封包审计,固化49,机器结果,数据/01_版本基线与封包审计/固化49/机器结果/固化49第二轮全包只读审计.json,1466,ae9480732953769db7391637d9dbd0c7d6126417a1cd8b16d68738c6b57a2f1a,机器可读结论与断言
数据,01_版本基线与封包审计,固化49,机器结果,数据/01_版本基线与封包审计/固化49/机器结果/本版本全文件SHA与遍历索引_固化49.json,191674,f6ac3a02d91c3e3d2ad4d979422382d9b5718046581972d246a672d21f773e5a,机器可读结论与断言
数据,01_版本基线与封包审计,固化50,机器结果,数据/01_版本基线与封包审计/固化50/机器结果/固化50代码工具文档与数据第一轮审计.json,2815,a926213ad17e958941972a89d9f3177a2a64ca83799348b501f7b3e3f982a2d7,机器可读结论与断言
数据,01_版本基线与封包审计,固化50,机器结果,数据/01_版本基线与封包审计/固化50/机器结果/固化50全文件SHA256索引.json,194608,b2322baa7c955976d6db59a901aa7c6b2561ed006ce11222feb948e35755e18a,机器可读结论与断言
数据,01_版本基线与封包审计,固化50,机器结果,数据/01_版本基线与封包审计/固化50/机器结果/固化50最终只读确认审计.json,17006,28a7cad7f67734068d08e17fa1783bc9c6e804cba366646d51e11f896cb60671,机器可读结论与断言
数据,01_版本基线与封包审计,固化50,机器结果,数据/01_版本基线与封包审计/固化50/机器结果/固化50第二轮全包只读审计.json,1440,0f4fc936f40e214ff5aac761dc943140b36dbc0bbe12d35487dea1bbffbc782c,机器可读结论与断言
数据,01_版本基线与封包审计,固化51,机器结果,数据/01_版本基线与封包审计/固化51/机器结果/固化51代码工具文档与数据第一轮审计.json,2445,b67f8051498ed3ff2c634b3056de8196d7c9518393422b0251514d73bd85caed,机器可读结论与断言
数据,01_版本基线与封包审计,固化51,机器结果,数据/01_版本基线与封包审计/固化51/机器结果/固化51全文件SHA256索引.json,197469,86d6db8b3288549bb6295b31f85f1fbd01d1cc38ec5caa67deb578308daa584c,机器可读结论与断言
数据,01_版本基线与封包审计,固化51,机器结果,数据/01_版本基线与封包审计/固化51/机器结果/固化51最终只读确认审计.json,1572,7fe6fbc5a3275bbeca48c50e8d8a0f982337d80980fc166aeb2484009d4ba0e3,机器可读结论与断言
数据,01_版本基线与封包审计,固化51,机器结果,数据/01_版本基线与封包审计/固化51/机器结果/固化51第二轮全包只读审计.json,1155,cf000275f35eb8f2f64f967f8d0ba968336d1329a57f903b0f8602242cd03d92,机器可读结论与断言
数据,01_版本基线与封包审计,固化52,机器结果,数据/01_版本基线与封包审计/固化52/机器结果/固化52代码工具文档与数据第一轮审计.json,1292,9eb7ed265b424d65c5e2875abbb25ac7a32871dd4faf8b895d69bacf5ced400f,机器可读结论与断言
数据,01_版本基线与封包审计,固化52,机器结果,数据/01_版本基线与封包审计/固化52/机器结果/固化52全文件SHA256索引.json,200390,04901e9819c89ca5f1a704316fbb8a51a4dc36d53046ab0712f2cbfa382f48c8,机器可读结论与断言
数据,01_版本基线与封包审计,固化52,机器结果,数据/01_版本基线与封包审计/固化52/机器结果/固化52最终只读确认审计.json,1542,947849f0e76b8ce56b696292564e8a298c0502da15859d823240a4d443609d98,机器可读结论与断言
数据,01_版本基线与封包审计,固化52,机器结果,数据/01_版本基线与封包审计/固化52/机器结果/固化52第二轮全包只读审计.json,2246,497eb77bec0384190b05536540415c66cefc5922e02efc9afc6a327379a418be,机器可读结论与断言
数据,01_版本基线与封包审计,固化53,机器结果,数据/01_版本基线与封包审计/固化53/机器结果/固化53代码工具文档与数据第一轮审计.json,1280,a69a6e1f4249be226d8dd8efc900a595ea18a04bdc7548037c2a433a01122b92,机器可读结论与断言
数据,01_版本基线与封包审计,固化53,机器结果,数据/01_版本基线与封包审计/固化53/机器结果/固化53全文件SHA256索引.json,203318,c65a6d4e9941b7d4cfbe0020200d9c15cb1938ebafb5ca6b9f0ddeb5327bf119,机器可读结论与断言
数据,01_版本基线与封包审计,固化53,机器结果,数据/01_版本基线与封包审计/固化53/机器结果/固化53最终只读确认审计.json,1539,bad830a2fbe2e366a3c24827182eeada75bca17aebc4bc4e4d0a71f2be7f9d9f,机器可读结论与断言
数据,01_版本基线与封包审计,固化53,机器结果,数据/01_版本基线与封包审计/固化53/机器结果/固化53第二轮全包只读审计.json,1449,2e8faa021f7f7d8bba853e6751be1ee32892a21d82becf3fd9cffe4c6c7f22f5,机器可读结论与断言
数据,01_版本基线与封包审计,固化54,机器结果,数据/01_版本基线与封包审计/固化54/机器结果/固化54代码工具文档与数据第一轮审计.json,1094,489622216be20a321b5fb0a2d96d6906c41e9d0634c1a8c9ae6742f90f1d6bd6,机器可读结论与断言
数据,01_版本基线与封包审计,固化54,机器结果,数据/01_版本基线与封包审计/固化54/机器结果/固化54全文件SHA256索引.json,206209,c4db801538809c1a9f97058c46fe1e153a0cda45a525796e16803484a9cf2e09,机器可读结论与断言
数据,01_版本基线与封包审计,固化54,机器结果,数据/01_版本基线与封包审计/固化54/机器结果/固化54最终只读确认审计.json,1585,861f12cf086b339ea1d7fa0e14a8260a6a47738686b9a7981f9aada8480e447e,机器可读结论与断言
数据,01_版本基线与封包审计,固化54,机器结果,数据/01_版本基线与封包审计/固化54/机器结果/固化54第二轮全包只读审计.json,1513,7e78d2a5556e22f8dee9e72ac3c542ee3c284570c74e162cebe83e213b9f6ae2,机器可读结论与断言
数据,01_版本基线与封包审计,固化55,机器结果,数据/01_版本基线与封包审计/固化55/机器结果/固化55代码工具文档与数据第一轮审计.json,10845,425d753f3a243345259f749827f173967d4a8e791c75f1b0803416f2e4d110c9,机器可读结论与断言
数据,01_版本基线与封包审计,固化55,机器结果,数据/01_版本基线与封包审计/固化55/机器结果/固化55全文件SHA256索引.json,209819,41d4866e0d914450b0f58f489b5ee916d2a25ef203559ea8214104a21d63592c,机器可读结论与断言
数据,01_版本基线与封包审计,固化55,机器结果,数据/01_版本基线与封包审计/固化55/机器结果/固化55最终只读确认审计.json,20650,fe62e7bf01edb3b27d690eab86ce757919572e23b92f32e386b4afeee7c2ec9c,机器可读结论与断言
数据,01_版本基线与封包审计,固化55,机器结果,数据/01_版本基线与封包审计/固化55/机器结果/固化55第二轮全包只读审计.json,4420,ae10606783271d0ba68cd47addc2e4e46d012e7d266893db5ff66e04fd2f505a,机器可读结论与断言
数据,01_版本基线与封包审计,固化55,机器结果,数据/01_版本基线与封包审计/固化55/机器结果/固化55预审失败记录_新工具注释密度不足.json,10181,72fabb1a22609d71918da6c6337e091c0cb93c81431c9649e0274d7bec1e4a5c,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56代码工具文档与数据第一轮审计.json,6273,ca58fe939f9ced9ae564c4f69e24281a705bfa4fbb288f652f6b45c39bd2df7c,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56全文件SHA256索引.json,213671,36671fcbb468615c8872c77296602c301cf6679ff48c391cfeabb272260fb150,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56双轮独立原始输入重放审计.json,1563,a26ffda5e769ef30fc39c169632d262a59ea3f8c2883fe6ecebc70b26974b84a,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56最终只读确认审计.json,26017,3af306202e55f86d720510d19364ad74f46c75f3f08d694b798832694615f0b6,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56第二轮全包只读审计.json,14019,2f6febf83979ddcd9daa147a7bd5cbfdbabd066fd8c85d17c5f3bf843d87ca06,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56预审失败记录_旧节点状态扫描与文档包入口残留.json,7072,0f6913951ae2fef304edad25dd50785a1bc28e4f95daac98f2c2c54d4bf92b36,机器可读结论与断言
数据,01_版本基线与封包审计,固化56,机器结果,数据/01_版本基线与封包审计/固化56/机器结果/固化56预审失败记录_第二轮横幅匹配条件过严.json,30412,68ec4c032d82ed5313363cb1e6855ab2dc45349525edfb78ca70bda8a4c58336,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57代码工具文档与数据第一轮审计.json,8392,0850c3081e8fec9ddf86d18c224e983b2cf5d9652875c4ccc5203d61e0034d59,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57全文件SHA256索引.json,219083,56e44f4c58d430c2b7f2d0cab6ff6d56e3580c4c6309b883d4ee0f6ecedc43f8,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57双轮独立原始输入重放审计.json,3715,16252ceb3576e0a18f8fda347695c7c4dd9fcbd395681e818b5abcbb20a06461,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57最终只读确认审计.json,29079,8d809b41e472b24b6c2498aa79b7d175c6d4087def3a072a98ca2f05219bf921,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57第二轮全包只读审计.json,9161,c05b5a96459c6b7709c7b9e72ca0c02e06372d223bcba82f8b54f4e1936fdb4c,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57第二轮全包只读审计_失败记录_历史审查文字误报为活跃状态.json,9006,0bad3f26d2352a2eac4ae40a693d52afde782e06f9b132861fa6cc35172e350f,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57预审失败记录_旧节点残留与扫描规则过宽.json,11424,ca32eff72d748694f994ffaad778df6de50c88b06a1e09d53979fd82d0a6ff50,机器可读结论与断言
数据,01_版本基线与封包审计,固化57,机器结果,数据/01_版本基线与封包审计/固化57/机器结果/固化57预审失败记录_第二次扫描未覆盖历史审查标签.json,8892,5b9f1a33c0541b6044e79d6a76829ede439dfd27dedd6d2c160c8533b316eb58,机器可读结论与断言
数据,01_版本基线与封包审计,固化58,机器结果,数据/01_版本基线与封包审计/固化58/机器结果/固化58代码工具文档与数据第一轮审计.json,5623,a2af861bbaeafc65275baf038245bea28c4a9ce5dab1c3c709831db91ea64e52,机器可读结论与断言
数据,01_版本基线与封包审计,固化58,机器结果,数据/01_版本基线与封包审计/固化58/机器结果/固化58全文件SHA256索引.json,223775,4a308de48968fc1028b9468225da610fbe61c3d2e02de24d50b0f284ed9ad6da,机器可读结论与断言
